Table Name,Column Name,Description,Business Context,Exclude Column,Data Type,Is Primary Key,Is Foreign Key
Invoices,PaymentOrClearingDate,Date the payment was cleared or settled.,,No,date,No,No
Invoices,PaymentTerms,Payment terms as agreed with the vendor.,,No,nvarchar,No,No
Invoices,IntercompanyFlag,Indicates if payment is between related group companies.,,No,nvarchar,No,No
Invoices,WhiteListedVendorFlag,"Indicates if vendor is ""white listed"" or pre-approved.",,No,nvarchar,No,No
Invoices,TotalInvoiceAmountRC,Total invoice amount in reporting currency.,,No,decimal,No,No
Invoices,TotalInvoiceAmountVC,Total invoice amount in vendor currency.,,No,decimal,No,No
Invoices,Asso#PR,Count of associated purchase requisitions,,No,decimal,No,No
Invoices,AssoPRAmount_RC,Associated purchase requisition amount in reporting currency,,No,decimal,No,No
Invoices,AssoPRRiskScore,Associated purchase requisition risk score,,No,decimal,No,No
Invoices,Asso#PO,Count of associated purchase order numbers,,No,decimal,No,No
Invoices,AssoPOAmount_RC,Associated purchase order amount in reporting currency,,No,decimal,No,No
Invoices,AssoPORiskScore,Associated purchase order risk score,,No,decimal,No,No
Invoices,Asso#PYMT,Count of associated payments,,No,decimal,No,No
Invoices,AssoPYMTAmount_RC,Associated payment amount in reporting currency,,No,decimal,No,No
Invoices,AssoPYMTRiskScore,Associated payment risk score,,No,decimal,No,No
Invoices,LookbackFlag,,,No,nvarchar,No,No
Invoices,Region,Geographical region relevant to the payment/vendor.,,No,nvarchar,No,No
Invoices,IsDuplicateFlagged,Flag for system-identified potential duplicate payment.,,No,nvarchar,No,No
Invoices,Tests_Failed_Count,,,No,decimal,No,No
Invoices,Tests_Failed_RiskCategory,,,No,nvarchar,No,No
Invoices,Tests_Failed,,,No,nvarchar,No,No
Invoices,Tests_FailedID,,,No,decimal,No,No
Invoices,Overall_Risk_Score,Vendor risk score,,No,decimal,No,No
Invoices,Overall_Tran_Risk_Score,Payments line item risk score,,No,decimal,No,No
Invoices,CumulativeRiskScore,,,No,decimal,No,No
Invoices,PhaseNo,Numeric code for phase/stage of the process.,,No,decimal,No,No
Invoices,Phase,Workflow or process phase for the payment.,,No,nvarchar,No,No
Invoices,Rank,Rank of the vendor based on CPI score among all vendors.,,No,decimal,No,No
Invoices,RowNumber,,,No,decimal,No,No
Invoices,PreviousTranRiskScore,,,No,decimal,No,No
Invoices,PreviousRiskScore,,,No,decimal,No,No
Invoices,ML_Risk_score,Review candidate probability by machine learning,,No,decimal,No,No
Invoices,SPT_TablePrimaryKey,,,No,nvarchar,No,No
Invoices,SPT_InvoiceNumber,Associated inoice numbers separated by ; or |,,No,nvarchar,No,No
Invoices,SPT_VendorNumber,Unique identifier for the vendor in the system.,,No,nvarchar,No,No
Invoices,SPT_VendorAddress,,,No,nvarchar,No,No
Invoices,SPT_PR,Associated purchase requisition numbers separated by ; or |,,No,nvarchar,No,No
Invoices,SPT_PO,Associated purchase order numbers separate by ; or |,,No,nvarchar,No,No
Invoices,SPT_InvoiceID,Associated inoice numbers separated by ; or |,,No,nvarchar,No,No
Invoices,P2PACIN101_Keyword_Translated,,,No,nvarchar,No,No
Invoices,P2PACIN101,All the transactions are flagged where invoice description hit the keywords in keyword list,,No,nvarchar,No,No
Invoices,P2PFMIN211,Payment clearance on the same Date of Physical invoice,,No,nvarchar,No,No
Invoices,P2PFMIN212,Payment clearance on the same Date of Physical invoice and System Invoice,,No,nvarchar,No,No
Invoices,P2PFMIN213,Payment clearance before Invoice Posting date,,No,nvarchar,No,No
Invoices,P2PFMIN220,"Duplicate Invoice(s) with same Vendor, same Amount, same Date, same Invoice number(s)",,No,nvarchar,No,No
Invoices,P2PFMIN221,"Duplicate Invoice(s) with Blank Vendor Number, same Amount, same Date and Blank Invoice number",,No,nvarchar,No,No
Invoices,P2PFMIN222,"Duplicate invoice(s) with same Vendor, same Amount, same Date, similar Invoice number(s)",,No,nvarchar,No,No
Invoices,P2PFMIN223,"Duplicate Invoice(s) with same Vendor, same Amount, same Date, different Invoice number(s)",,No,nvarchar,No,No
Invoices,P2PFMIN224,"Duplicate Invoice(s) with different Vendor(s), same Amount, same Date, same Invoice number(s)",,No,nvarchar,No,No
Invoices,P2PFMIN225,"Duplicate Invoice(s) with different Vendor(s), same Amount, same Date, similar Invoice number(s)",,No,nvarchar,No,No
Invoices,P2PFMIN226,"Duplicate Invoice(s) with same Vendor, same Amount, different Date(s), similar Invoice number(s)",,No,nvarchar,No,No
Invoices,P2PFMIN227,"Duplicate Invoice(s) with same Vendor, same Amount, different Date(s), same Invoice number",,No,nvarchar,No,No
Invoices,P2PFMIN254,Consecutive or Sequential Invoices from same Vendor,,No,nvarchar,No,No
Invoices,P2PFMIN256,"Invoice(s) from Vendor(s) with Vendor names like ""misc., one-time, cash, anonymous etc.",,No,nvarchar,No,No
Invoices,P2PFMIN261,Invoice(s) raised on Weekend(s) or Public Holiday(s),,No,nvarchar,No,No
Invoices,P2PFMIN262,Round Currency Invoice(s),,No,nvarchar,No,No
Invoices,P2PFMIN263,Round Currency Amount(s) detected in Invoice OCR output,,No,nvarchar,No,No
Invoices,P2PFMIN264,Invoice(s) from Vendor(s) not listed in Vendor Master,,No,nvarchar,No,No
Invoices,P2PFMIN271,"Vendor(s) with only one Invoice, without OTV flag",,No,nvarchar,No,No
Invoices,P2PHRIN302,Risky Vendors - Vendor name(s) matching with OFAC Sanctions List,,No,nvarchar,No,No
Invoices,P2PHRIN303,Risky Vendors - Vendor name(s) matching with Panama Papers - Invoices,,No,nvarchar,No,No
Invoices,P2PHRIN304,Risky Vendors - Vendor address matching with Panama Papers - Invoices,,No,nvarchar,No,No
Invoices,P2PHRIN305,Risky Vendors - Invoice(s) from Vendor(s) from Embargoed Countries,,No,nvarchar,No,No
Invoices,P2PFMIN268,Document Currency different in PO and Invoice,,No,nvarchar,No,No
Invoices,P2PICIN604,Invoice(s) not paid over 180 days from Invoice date,,No,nvarchar,No,No
Invoices,P2PICIN611,"Invoice(s) with corresponding Purchase Order, but not Purchase Requisition",,No,nvarchar,No,No
Invoices,P2PSTIN990,Outlier and unusual Invoice(s) using Statistical Anomaly detection by Vendors,,No,nvarchar,No,No
Invoices,P2PSTIN990_Min_Threshold,,,No,decimal,No,No
Invoices,P2PSTIN990_Max_Threshold,,,No,decimal,No,No
Invoices,P2PFMIN261_HolidayOrWeekends,,,No,nvarchar,No,No
Invoices,P2PFMIN262_RoundedTo,,,No,nvarchar,No,No
Invoices,P2PFMIN268_POCurrency,,,No,nvarchar,No,No
Invoices,P2PHRIN302_OFACName,,,No,nvarchar,No,No
Invoices,P2PHRIN303_PanamaName,,,No,nvarchar,No,No
Invoices,P2PHRIN303_JurisdictionDescription,,,No,nvarchar,No,No
Invoices,P2PHRIN304_PanamaAddress,,,No,nvarchar,No,No
Invoices,P2PHRIN304_Country,Risky Vendors - Vendor address matching with Panama Papers - Invoices,,No,nvarchar,No,No
Invoices,P2PFMIN213_DifferenceInDays,,,No,decimal,No,No
Invoices,P2PICIN604_DifferenceInDays,,,No,decimal,No,No
Invoices,P2PFMIN220_GRD,"Duplicate Invoice(s) with same Vendor, same Amount, same Date, same Invoice number(s)",,No,decimal,No,No
Invoices,P2PFMIN221_GRD,"Duplicate Invoice(s) with Blank Vendor Number, same Amount, same Date and Blank Invoice number",,No,decimal,No,No
Invoices,P2PFMIN222_GRD,"Duplicate invoice(s) with same Vendor, same Amount, same Date, similar Invoice number(s)",,No,decimal,No,No
Invoices,P2PFMIN223_GRD,"Duplicate Invoice(s) with same Vendor, same Amount, same Date, different Invoice number(s)",,No,decimal,No,No
Invoices,P2PFMIN224_GRD,"Duplicate Invoice(s) with different Vendor(s), same Amount, same Date, same Invoice number(s)",,No,decimal,No,No
Invoices,P2PFMIN225_GRD,"Duplicate Invoice(s) with different Vendor(s), same Amount, same Date, similar Invoice number(s)",,No,decimal,No,No
Invoices,P2PFMIN226_GRD,"Duplicate Invoice(s) with same Vendor, same Amount, different Date(s), similar Invoice number(s)",,No,decimal,No,No
Invoices,P2PFMIN227_GRD,"Duplicate Invoice(s) with same Vendor, same Amount, different Date(s), same Invoice number",,No,decimal,No,No
Invoices,P2PFMIN254_GRD,Consecutive or Sequential Invoices from same Vendor,,No,decimal,No,No
Invoices,P2PACIN101_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN211_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN212_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN213_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN220_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN221_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN222_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN223_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN224_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN225_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN226_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN227_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN254_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN256_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN261_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN262_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN263_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN264_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN271_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN268_Tran_Score,,,No,decimal,No,No
Invoices,P2PHRIN302_Tran_Score,,,No,decimal,No,No
Invoices,P2PHRIN303_Tran_Score,,,No,decimal,No,No
Invoices,P2PHRIN304_Tran_Score,,,No,decimal,No,No
Invoices,P2PHRIN305_Tran_Score,,,No,decimal,No,No
Invoices,P2PICIN611_Tran_Score,,,No,decimal,No,No
Invoices,P2PICIN604_Tran_Score,,,No,decimal,No,No
Invoices,P2PSTIN990_Tran_Score,,,No,decimal,No,No
Invoices,SPT_RowID,Line Item level primary key,,No,bigint,No,No
Invoices,P2PACIN102_Tran_Score,,,No,decimal,No,No
Invoices,P2PFMIN214_Tran_Score,,,No,decimal,No,No
Invoices,P2PACIN101_Keyword_Category,,,No,nvarchar,No,No
Invoices,CompanyCodeCountry,Internal company code processing this payment.,,No,varchar,No,No
Invoices,CompanyCodeCountryName,Name of the internal company code entity.,,No,varchar,No,No
Payments,VendorNumber,Unique identifier for the vendor in the system.,Contains attributes that identify and describe vendors or suppliers.,No,nvarchar,No,No
Payments,VendorName,Name of the vendor.,Contains attributes that identify and describe vendors or suppliers.,No,nvarchar,No,No
Payments,VendorCountry,Country code of the vendor’s registered address.,Contains attributes that identify and describe vendors or suppliers.,No,nvarchar,No,No
Payments,VendorCountryName,Full country name of the vendor.,Contains attributes that identify and describe vendors or suppliers.,No,nvarchar,No,No
Payments,VendorCountryCurrency,Currency code of the vendor’s country.,Contains attributes that identify and describe vendors or suppliers.,No,nvarchar,No,No
Payments,VendorCategory,Classification or category of the vendor.,Contains attributes that identify and describe vendors or suppliers.,No,nvarchar,No,No
Payments,OneTimeVendorFlag,Indicates if the vendor is a one-time or infrequent vendor.,Contains attributes that identify and describe vendors or suppliers.,No,nvarchar,No,No
Payments,CPIScore,Corruption Perception Index Score at vendor level,"Holds fields related to compliance, corruption index, and transaction risk scoring.",No,int,No,No
Payments,CPIRank,Rank of the vendor based on CPI score among all vendors.,General payment or operational data field.,No,int,No,No
Payments,COITag,Conflict of Interest indicator tag for the vendor.,General payment or operational data field.,No,nvarchar,No,No
Payments,CompanyCode,Internal company code processing this payment.,"Links the payment record to internal systems, ledgers, and organizational codes.",No,nvarchar,No,No
Payments,CompanyCodeName,Name of the internal company code entity.,"Links the payment record to internal systems, ledgers, and organizational codes.",No,nvarchar,No,No
Payments,CompanyCodeCountry,Internal company code processing this payment.,,No,nvarchar,No,No
Payments,CompanyCodeCountryName,Name of the internal company code entity.,,No,nvarchar,No,No
Payments,SystemPaymentNo,System-generated unique payment number.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,nvarchar,No,No
Payments,AdditionalPaymentID,Any additional payment reference or identifier used.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,nvarchar,No,No
Payments,InvoiceCompanyCode,Company code as recorded on the original invoice.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,nvarchar,No,No
Payments,PhysicalInvoiceNo,Invoice number from the physical or scanned invoice.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,nvarchar,No,No
Payments,SystemInvoiceNo,System-generated invoice number.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,nvarchar,No,No
Payments,InvoiceLineRef,Reference for the individual line item on the invoice.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,nvarchar,No,No
Payments,FiscalYear,Fiscal year for financial reporting of the transaction.,General payment or operational data field.,No,nvarchar,No,No
Payments,InvoiceType,"Classification of the invoice type (goods, services, etc.).","Includes key payment transaction information such as invoice data, amounts, and posting details.",No,nvarchar,No,No
Payments,PostingKey,Code indicating posting type (debit/credit).,"Links between payments and procurement-related documents (PR, PO, Invoices).",No,nvarchar,No,No
Payments,PaymentDescription,Description or narration for the payment.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,nvarchar,No,No
Payments,PaymentRunDate,Date the payment was processed in a payment run.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,date,No,No
Payments,PaymentOrClearingDate,Date the payment was cleared or settled.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,date,No,No
Payments,DateDocumented,Date the document/invoice was created in the system.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,date,No,No
Payments,PostingDate,Date the transaction was posted in the ledger.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,date,No,No
Payments,DebitCreditIndicator,Indicates whether the line is a debit or credit.,General payment or operational data field.,No,nvarchar,No,No
Payments,AmountVat_RC,Total tax amount in reported currency.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,decimal,No,No
Payments,AmountIncl_RC,Total amount including tax in reported currency.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,decimal,No,No
Payments,AmountExcl_RC,Amount excluding tax in reported currency.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,decimal,No,No
Payments,VendorCurrency,Currency code in which payment to the vendor is made.,Contains attributes that identify and describe vendors or suppliers.,No,nvarchar,No,No
Payments,AmountVat_VC,Total tax amount in vendor currency.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,decimal,No,No
Payments,AmountIncl_VC,Total amount including tax in vendor currency.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,decimal,No,No
Payments,AmountExcl_VC,Amount excluding tax in vendor currency.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,decimal,No,No
Payments,CapturedBy,User ID or name of the person who captured the entry.,"Tracks who created, captured, or modified the data and when.",No,nvarchar,No,No
Payments,DateCaptured,Date and time when the entry was captured.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,date,No,No
Payments,AuthorizedBy,ID or name of the person who authorized payment.,"Tracks who created, captured, or modified the data and when.",No,nvarchar,No,No
Payments,DateAuthorized,Date the payment was authorized.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,date,No,No
Payments,GLAccountRiskCategory,Risk category associated with GL account used.,"Links the payment record to internal systems, ledgers, and organizational codes.",No,nvarchar,No,No
Payments,GLAccountDescription,Description of the GL account.,"Links the payment record to internal systems, ledgers, and organizational codes.",No,nvarchar,No,No
Payments,GLAccountGroup,GL account grouping code.,"Links the payment record to internal systems, ledgers, and organizational codes.",No,nvarchar,No,No
Payments,RefNo,External or cross-reference number for the payment line.,General payment or operational data field.,No,nvarchar,No,No
Payments,PaymentMethod,"Method used for making payment (NEFT, cheque etc.).","Includes key payment transaction information such as invoice data, amounts, and posting details.",No,nvarchar,No,No
Payments,IsManualPayment,Flag for manually processed payments.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,nvarchar,No,No
Payments,PaymentTerms,Payment terms as agreed with the vendor.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,nvarchar,No,No
Payments,PayeeName,Name of the actual payee for this payment.,"Details about payee accounts, banks, and related identifiers used for fund transfers.",No,nvarchar,No,No
Payments,PayeeAddress,Address of the payee.,"Details about payee accounts, banks, and related identifiers used for fund transfers.",No,nvarchar,No,No
Payments,PayeeCity,City of the payee.,"Details about payee accounts, banks, and related identifiers used for fund transfers.",No,nvarchar,No,No
Payments,PayeeRegion,Region/state/province of the payee.,"Details about payee accounts, banks, and related identifiers used for fund transfers.",No,nvarchar,No,No
Payments,PayeeCountry,Country of payee.,"Details about payee accounts, banks, and related identifiers used for fund transfers.",No,nvarchar,No,No
Payments,PayeePostalCode,Postal code of the payee.,"Links the payment record to internal systems, ledgers, and organizational codes.",No,nvarchar,No,No
Payments,PayeePOBox,PO Box number of the payee (if any).,"Links between payments and procurement-related documents (PR, PO, Invoices).",No,nvarchar,No,No
Payments,PayeeBankAccount,Bank account number of the payee.,"Links the payment record to internal systems, ledgers, and organizational codes.",No,nvarchar,No,No
Payments,PayeeBankNo,Bank code/number of the payee’s bank.,"Details about payee accounts, banks, and related identifiers used for fund transfers.",No,nvarchar,No,No
Payments,PayeeBankCountry,Country where payee’s bank is located.,"Details about payee accounts, banks, and related identifiers used for fund transfers.",No,nvarchar,No,No
Payments,PayeeSWIFT,SWIFT code of the payee’s bank.,"Details about payee accounts, banks, and related identifiers used for fund transfers.",No,nvarchar,No,No
Payments,PayeeIBAN,IBAN number of the payee’s bank account.,"Details about payee accounts, banks, and related identifiers used for fund transfers.",No,nvarchar,No,No
Payments,HouseBankID,Organization’s internal bank identifier for payment.,"Details about payee accounts, banks, and related identifiers used for fund transfers.",No,nvarchar,No,No
Payments,HouseBankKey,Internal key/code for organization's house bank.,"Details about payee accounts, banks, and related identifiers used for fund transfers.",No,nvarchar,No,No
Payments,InterCompanyFlag,Indicates if payment is between related group companies.,"Links the payment record to internal systems, ledgers, and organizational codes.",No,nvarchar,No,No
Payments,WhiteListedVendorFlag,"Indicates if vendor is ""white listed"" or pre-approved.",Contains attributes that identify and describe vendors or suppliers.,No,nvarchar,No,No
Payments,ModifiedOn,Date and time the entry was last modified.,"Tracks who created, captured, or modified the data and when.",No,datetime,No,No
Payments,Phase,Workflow or process phase for the payment.,Contains workflow and system-level technical fields used for process tracking.,No,nvarchar,No,No
Payments,PhaseNo,Numeric code for phase/stage of the process.,Contains workflow and system-level technical fields used for process tracking.,No,int,No,No
Payments,SPT_Source,,Contains workflow and system-level technical fields used for process tracking.,No,nvarchar,No,No
Payments,SPT_RowId,Line Item level primary key,Contains workflow and system-level technical fields used for process tracking.,No,bigint,Yes,No
Payments,SPT_TablePrimaryKey,,"Links between payments and procurement-related documents (PR, PO, Invoices).",No,nvarchar,No,No
Payments,SPT_VendorNumber,Unique identifier for the vendor in the system.,Contains attributes that identify and describe vendors or suppliers.,No,nvarchar,No,No
Payments,SPT_PayeeName,Name of the actual payee for this payment.,"Details about payee accounts, banks, and related identifiers used for fund transfers.",No,nvarchar,No,No
Payments,SPT_PayeeAddress,Address of the payee.,"Details about payee accounts, banks, and related identifiers used for fund transfers.",No,nvarchar,No,No
Payments,SPT_PayeeBankAccount,Bank account number of the payee.,"Links the payment record to internal systems, ledgers, and organizational codes.",No,nvarchar,No,No
Payments,SPT_VendorAddress,,Contains attributes that identify and describe vendors or suppliers.,No,nvarchar,No,No
Payments,SPT_VendorTaxID,,Contains attributes that identify and describe vendors or suppliers.,No,nvarchar,No,No
Payments,SPT_VendorContacts,,Contains attributes that identify and describe vendors or suppliers.,No,nvarchar,No,No
Payments,SPT_VendorEmail,,Contains attributes that identify and describe vendors or suppliers.,No,nvarchar,No,No
Payments,SPT_VendorBankAccounts,,Contains attributes that identify and describe vendors or suppliers.,No,nvarchar,No,No
Payments,SPT_PR,Associated purchase requisition numbers separated by ; or |,"Links between payments and procurement-related documents (PR, PO, Invoices).",No,nvarchar,No,No
Payments,SPT_PO,Associated purchase order numbers separate by ; or |,"Links between payments and procurement-related documents (PR, PO, Invoices).",No,nvarchar,No,No
Payments,SPT_InvoiceID,Associated inoice numbers separated by ; or |,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,nvarchar,No,No
Payments,TotalInvoiceAmountRC,Total invoice amount in reporting currency.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,decimal,No,No
Payments,TotalInvoiceAmountVC,Total invoice amount in vendor currency.,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,decimal,No,No
Payments,SPT_PaymentID,,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,nvarchar,No,No
Payments,Asso#PR,Count of associated purchase requisitions,"Links between payments and procurement-related documents (PR, PO, Invoices).",No,int,No,No
Payments,AssoPRAmount_RC,Associated purchase requisition amount in reporting currency,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,decimal,No,No
Payments,AssoPRRiskScore,Associated purchase requisition risk score,"Holds fields related to compliance, corruption index, and transaction risk scoring.",No,decimal,No,No
Payments,Asso#PO,Count of associated purchase order numbers,"Links between payments and procurement-related documents (PR, PO, Invoices).",No,int,No,No
Payments,AssoPOAmount_RC,Associated purchase order amount in reporting currency,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,decimal,No,No
Payments,AssoPORiskScore,Associated purchase order risk score,"Holds fields related to compliance, corruption index, and transaction risk scoring.",No,decimal,No,No
Payments,Asso#INV,Count of associated Invoice numbers,"Links between payments and procurement-related documents (PR, PO, Invoices).",No,int,No,No
Payments,AssoINVAmount_RC,Associated invoice amount in reporting currency,"Includes key payment transaction information such as invoice data, amounts, and posting details.",No,decimal,No,No
Payments,AssoINVRiskScore,Associated invoice risk score,"Holds fields related to compliance, corruption index, and transaction risk scoring.",No,decimal,No,No
Payments,Region,Geographical region relevant to the payment/vendor.,General payment or operational data field.,No,nvarchar,No,No
Payments,LookbackFlag,,Binary or categorical indicators marking transactions or vendors for potential fraud or compliance issues.,No,nvarchar,No,No
Payments,IsDuplicateFlagged,Flag for system-identified potential duplicate payment.,Binary or categorical indicators marking transactions or vendors for potential fraud or compliance issues.,No,varchar,No,No
Payments,ML_Prediction,Whether is line item is identified as a potential review candidate by Machine Learning,Generated outputs from ML models for fraud or anomaly detection.,No,int,No,No
Payments,ML_Risk_Score,Review candidate probability by machine learning,"Holds fields related to compliance, corruption index, and transaction risk scoring.",No,decimal,No,No
Payments,Tests_Failed,,General payment or operational data field.,No,nvarchar,No,No
Payments,Tests_Failed_RiskCategory,,"Holds fields related to compliance, corruption index, and transaction risk scoring.",No,nvarchar,No,No
Payments,Tests_Failed_Count,,General payment or operational data field.,No,int,No,No
Payments,Tests_FailedID,,General payment or operational data field.,No,int,No,No
Payments,Overall_Risk_Score,Vendor risk score,"Holds fields related to compliance, corruption index, and transaction risk scoring.",No,decimal,No,No
Payments,Overall_Tran_Risk_Score,Payments line item risk score,"Holds fields related to compliance, corruption index, and transaction risk scoring.",No,decimal,No,No
Payments,PreviousRiskScore,,"Holds fields related to compliance, corruption index, and transaction risk scoring.",No,decimal,No,No
Payments,PreviousTranRiskScore,,"Holds fields related to compliance, corruption index, and transaction risk scoring.",No,decimal,No,No
Payments,CumulativeRiskScore,,"Holds fields related to compliance, corruption index, and transaction risk scoring.",No,decimal,No,No
Payments,RowNumber,,General payment or operational data field.,No,int,No,No
Payments,Rank,Rank of the vendor based on CPI score among all vendors.,General payment or operational data field.,No,int,No,No
Payments,SPT_Reversal_Flag,Whether this payment was reversed,Binary or categorical indicators marking transactions or vendors for potential fraud or compliance issues.,No,nvarchar,No,No
Payments,SPT_Reversal_Group,Group ID of the group that indicated all payments reversed together.,Contains workflow and system-level technical fields used for process tracking.,No,bigint,No,No
Payments,P2PACPY101,Payment(s) with matched Keyword(s) in Payment description(s) - English,"Holds fields related to compliance, corruption index, and transaction risk scoring.",No,nvarchar,No,No
Payments,P2PACPY101_Keyword_Translated,,"Holds fields related to compliance, corruption index, and transaction risk scoring.",No,nvarchar,No,No
Payments,P2PACPY101_Keyword_Category,,"Holds fields related to compliance, corruption index, and transaction risk scoring.",No,nvarchar,No,No
Payments,P2PACPY102,Payment(s) to Vendor(s) with Government keyword(s) in Vendor Name,"Holds fields related to compliance, corruption index, and transaction risk scoring.",No,nvarchar,No,No
